,ROUGE-1,ROUGE-2,ROUGE-L,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU,METEOR,BERTScore-F1
Llama-3.1-8B,0.3854,0.1573,0.2598,0.2435,0.1377,0.0856,0.0563,0.0563,0.2306,0.171
LlaDA-8B,0.3972,0.1542,0.2725,0.2547,0.1392,0.083,0.0525,0.0525,0.235,0.2014
