model,SummaC,QAFactEval,MedNER-P,MedNER-R,MedNER-F1,ROUGE-1,ROUGE-2,ROUGE-L,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU,METEOR,BERTScore-F1,Accuracy (o3),Completeness (o3),Organization (o3),Synthesis (o3),Overall (o3),Accuracy (R1),Completeness (R1),Organization (R1),Synthesis (R1),Overall (R1),avg_latency_s,total_wall_time_s,avg_steps,avg_tokens,avg_iterations
LLaMA zero-shot (Llama-3.1-8B-Instruct),-0.3391,0.439,0.7225,0.2823,0.3807,0.3732,0.1498,0.2501,0.2344,0.1295,0.0775,0.0502,0.0502,0.22,0.1578,2.8229,2.4057,4.6977,1.4514,3.0505,2.5457,1.9371,4.2114,2.0429,2.8542,5.06,885.5,,127.8,
LLaMA LoRA (Llama-3.1-8B + clinical LoRA),0.0781,0.561,0.8842,0.2674,0.3858,0.3925,0.1887,0.2792,0.2733,0.1732,0.1234,0.0953,0.0953,0.2636,0.1799,2.7743,1.5943,4.2321,0.74,2.5467,2.5686,1.5457,3.7003,1.5314,2.4885,5.06,885.9,,128.0,
LLaDA zero-shot (8B-Instruct),-0.4054,0.4181,0.6961,0.257,0.357,0.3956,0.1598,0.2754,0.2554,0.1418,0.0855,0.055,0.055,0.2377,0.2047,2.0257,2.5543,3.5942,1.3343,2.5118,1.4543,2.0571,2.897,1.5857,2.0985,5.89,1030.6,512.0,,
LLaDA LoRA (8B-Base + clinical LoRA),0.039,0.6076,0.8627,0.2672,0.3797,0.3733,0.1695,0.2626,0.2545,0.154,0.1059,0.0785,0.0785,0.2446,0.1409,2.3743,1.5257,3.3578,0.7429,2.1513,1.86,1.5171,2.7465,1.3657,1.9698,5.97,1045.2,512.0,,
LLaDA LoRA + EPD (Entity-Pinned Decoding),0.1496,0.6638,0.8902,0.2808,0.398,0.3541,0.1569,0.2455,0.2462,0.1466,0.1014,0.0767,0.0767,0.2339,0.075,2.8371,1.4514,3.9989,0.5971,2.4202,2.5514,1.46,3.4603,1.2486,2.323,18.4,62484.6,64.0,,
LAD LoRA + EPD (Entity-Pinned Decoding),0.0633,0.4829,0.1077,0.0256,0.0383,0.1533,0.0558,0.1321,0.0514,0.0221,0.0131,0.0087,0.0087,0.0622,-0.4317,1.1086,1.0514,1.2133,0.5371,1.0048,1.0743,1.0571,1.1638,0.8771,1.0567,2.05,358.4,,,7.3
LAD LoRA fine-tuned,-0.6596,0.4743,0.0,0.0,0.0,0.1607,0.0554,0.1387,0.046,0.0185,0.0108,0.007,0.007,0.0612,-0.3747,1.0,1.0,1.1335,0.5,0.9345,1.0,1.0,1.0362,0.74,0.9549,1.99,349.1,,,5.1
