id,ROUGE-1,ROUGE-2,ROUGE-L,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU,METEOR,BERTScore-F1
61,0.4816,0.4444,0.4703,0.121,0.116,0.112,0.1086,0.1086,0.273,0.4496
62,0.6041,0.4527,0.5633,0.3639,0.3147,0.2799,0.2597,0.2597,0.4375,0.4292
63,0.3436,0.0621,0.2086,0.2657,0.1011,0.0237,0.0115,0.0115,0.1705,0.0855
64,0.3309,0.0876,0.2158,0.2069,0.085,0.044,0.0178,0.0178,0.3219,0.1093
65,0.3245,0.1141,0.1962,0.1574,0.074,0.0381,0.013,0.013,0.164,0.1007
66,0.4444,0.1951,0.2319,0.345,0.2239,0.1577,0.1116,0.1116,0.317,0.2252
67,0.2759,0.1404,0.2586,0.1446,0.1029,0.0868,0.0756,0.0756,0.278,0.1788
68,0.4568,0.2375,0.3457,0.3529,0.2245,0.162,0.12,0.12,0.3895,0.3293
69,0.5638,0.2796,0.4149,0.4832,0.3277,0.2294,0.1618,0.1618,0.3856,0.4539
70,0.4718,0.2798,0.3282,0.4062,0.2924,0.2442,0.2082,0.2082,0.2722,0.2289
71,0.4343,0.1633,0.2424,0.3143,0.1534,0.0764,0.0256,0.0256,0.2281,0.2362
72,0.5279,0.2256,0.3756,0.3961,0.2551,0.2009,0.1664,0.1664,0.3369,0.2698
73,0.3406,0.1825,0.2391,0.1032,0.0735,0.0533,0.0394,0.0394,0.1641,0.1661
74,0.2278,0.0897,0.1772,0.1917,0.0894,0.0608,0.0424,0.0424,0.1608,-0.062
75,0.398,0.1508,0.3085,0.3301,0.1887,0.1208,0.0771,0.0771,0.2775,0.1122
76,0.3969,0.1725,0.2802,0.1997,0.1246,0.0867,0.0675,0.0675,0.2026,0.1385
77,0.5,0.2771,0.4524,0.3298,0.2147,0.1443,0.1072,0.1072,0.3732,0.317
78,0.3881,0.1818,0.2836,0.2235,0.1264,0.0268,0.0124,0.0124,0.3269,0.3039
79,0.5064,0.329,0.3863,0.3956,0.3138,0.2584,0.2148,0.2148,0.3654,0.2653
80,0.2994,0.1333,0.2395,0.1889,0.1128,0.0898,0.0759,0.0759,0.2411,0.0566
81,0.5644,0.43,0.5446,0.5032,0.4267,0.3693,0.328,0.328,0.4627,0.3432
