id,ROUGE-1,ROUGE-2,ROUGE-L,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU,METEOR,BERTScore-F1
1369,0.3959,0.2564,0.3655,0.3299,0.2451,0.2097,0.184,0.184,0.2453,0.2293
346,0.3373,0.0854,0.2651,0.2644,0.1109,0.0525,0.0204,0.0204,0.2014,0.1205
1371,0.324,0.1808,0.2793,0.1423,0.0997,0.0689,0.052,0.052,0.1574,-0.0879
2907,0.2449,0.0414,0.1633,0.186,0.0662,0.0374,0.0158,0.0158,0.1831,-0.0704
2908,0.4845,0.1979,0.2784,0.3851,0.2111,0.1333,0.0711,0.0711,0.3009,0.2944
1374,0.2511,0.0633,0.1794,0.1578,0.0677,0.0323,0.0126,0.0126,0.0928,0.0086
1379,0.2074,0.0602,0.1185,0.0928,0.0098,0.0047,0.0032,0.0032,0.133,0.0129
1383,0.3027,0.0656,0.2162,0.2636,0.0937,0.0215,0.0103,0.0103,0.1482,-0.0889
1897,0.4276,0.1818,0.2759,0.2824,0.164,0.1174,0.0943,0.0943,0.341,0.1514
1900,0.2171,0.0,0.124,0.1412,0.013,0.0059,0.004,0.004,0.1606,-0.0374
1901,0.4974,0.3102,0.4233,0.3875,0.3058,0.2625,0.23,0.23,0.3801,0.2335
881,0.4878,0.2705,0.4065,0.2286,0.1705,0.1289,0.0973,0.0973,0.2259,0.3596
1395,0.4407,0.1943,0.2938,0.3191,0.1852,0.1038,0.0333,0.0333,0.3219,0.2845
886,0.3125,0.0947,0.2292,0.2049,0.0922,0.0447,0.0175,0.0175,0.159,0.0453
1914,0.2353,0.0711,0.1569,0.1626,0.0906,0.0594,0.0406,0.0406,0.1396,0.0501
892,0.4239,0.1209,0.2391,0.268,0.1182,0.0528,0.0199,0.0199,0.2735,0.1892
2432,0.3483,0.125,0.2472,0.3023,0.1578,0.0667,0.0244,0.0244,0.2192,0.1003
1922,0.5421,0.3491,0.4019,0.2392,0.1793,0.1392,0.1095,0.1095,0.3343,0.4597
1411,0.3195,0.0838,0.213,0.2471,0.0939,0.022,0.0107,0.0107,0.1765,0.0202
388,0.3129,0.0828,0.1769,0.2022,0.0678,0.0375,0.0157,0.0157,0.2085,0.0799
2950,0.4588,0.1667,0.3059,0.3667,0.2129,0.1272,0.083,0.083,0.3476,0.2025
392,0.4715,0.1967,0.252,0.2418,0.1369,0.0768,0.0229,0.0229,0.23,0.3019
904,0.3611,0.1869,0.25,0.2906,0.1874,0.1403,0.1099,0.1099,0.24,0.1482
1937,0.2917,0.0316,0.1771,0.2292,0.0155,0.0064,0.0041,0.0041,0.1338,-0.0212
2967,0.2436,0.039,0.141,0.1573,0.0598,0.016,0.0083,0.0083,0.1827,-0.0982
1944,0.4328,0.197,0.3284,0.2877,0.1788,0.0766,0.0283,0.0283,0.2626,0.1931
412,0.4699,0.2873,0.4153,0.3331,0.252,0.2074,0.1679,0.1679,0.3319,0.2709
413,0.4296,0.1805,0.2963,0.3571,0.2158,0.1507,0.1196,0.1196,0.3014,0.2823
414,0.4167,0.0947,0.2292,0.337,0.1217,0.0254,0.0117,0.0117,0.2107,0.1648
932,0.5,0.2816,0.3942,0.3779,0.2812,0.24,0.2162,0.2162,0.3229,0.2889
2983,0.3883,0.1275,0.2427,0.3022,0.1587,0.1057,0.0761,0.0761,0.2124,0.1427
424,0.3787,0.1437,0.284,0.309,0.1663,0.1078,0.0616,0.0616,0.2313,0.0366
2986,0.475,0.2017,0.2833,0.3156,0.2105,0.1419,0.0929,0.0929,0.2762,0.2755
2479,0.4184,0.2062,0.2653,0.2698,0.1618,0.0889,0.0282,0.0282,0.1764,0.2433
437,0.2281,0.0714,0.1053,0.1111,0.0118,0.0056,0.0039,0.0039,0.1852,0.063
1461,0.27,0.0596,0.1603,0.1224,0.0363,0.009,0.0045,0.0045,0.1102,-0.0352
952,0.3616,0.1371,0.2599,0.3085,0.1728,0.0866,0.0517,0.0517,0.2804,0.1414
1981,0.3109,0.0733,0.2073,0.2476,0.1195,0.0652,0.0228,0.0228,0.2266,0.0077
958,0.2804,0.1333,0.1869,0.1549,0.0815,0.0458,0.0194,0.0194,0.273,0.1215
2494,0.3314,0.0809,0.1829,0.2316,0.086,0.02,0.0096,0.0096,0.1729,-0.0288
3016,0.2645,0.0417,0.1488,0.1615,0.0614,0.0281,0.0107,0.0107,0.1167,0.0268
459,0.378,0.1235,0.2683,0.2637,0.121,0.0254,0.0117,0.0117,0.22,0.2669
1483,0.4731,0.3261,0.4194,0.3838,0.3066,0.2686,0.2384,0.2384,0.4579,0.3566
1485,0.2568,0.0548,0.1486,0.1932,0.0471,0.0137,0.0074,0.0074,0.1874,0.1015
2514,0.3648,0.1783,0.2516,0.2159,0.1575,0.113,0.0763,0.0763,0.2777,0.1694
2006,0.3905,0.1677,0.2367,0.3043,0.1918,0.1178,0.0779,0.0779,0.2574,0.1453
984,0.2404,0.068,0.1731,0.1207,0.0673,0.0441,0.0302,0.0302,0.112,0.0259
2522,0.4156,0.2876,0.3896,0.1328,0.1118,0.1029,0.0966,0.0966,0.2238,0.1052
1500,0.4355,0.1803,0.2258,0.3098,0.1897,0.1223,0.0749,0.0749,0.2372,0.1586
477,0.4639,0.1667,0.2784,0.3329,0.1817,0.0998,0.067,0.067,0.2602,0.216
1002,0.2148,0.1361,0.1745,0.15,0.1231,0.1027,0.0864,0.0864,0.2402,-0.0245
3050,0.2258,0.087,0.1828,0.199,0.1086,0.0521,0.0204,0.0204,0.1448,-0.0828
1005,0.339,0.1257,0.2599,0.2638,0.1533,0.1099,0.0821,0.0821,0.2553,0.1148
1517,0.5676,0.3364,0.4414,0.439,0.3344,0.2604,0.2054,0.2054,0.3596,0.4168
2033,0.5346,0.2977,0.4055,0.3613,0.2703,0.2257,0.1986,0.1986,0.3365,0.2681
2036,0.3311,0.1342,0.1987,0.2317,0.107,0.0523,0.0206,0.0206,0.227,0.1497
2549,0.4286,0.3091,0.2679,0.2857,0.2294,0.17,0.1277,0.1277,0.5004,0.2236
2550,0.1986,0.0144,0.1135,0.1188,0.0345,0.0106,0.0059,0.0059,0.2051,-0.1119
504,0.2063,0.032,0.1667,0.1321,0.0491,0.0114,0.0055,0.0055,0.0854,-0.2602
1533,0.3452,0.1084,0.1786,0.2391,0.1146,0.0759,0.056,0.056,0.2263,0.2383
