id,SummaC,QAFactEval,MedNER-P,MedNER-R,MedNER-F1
1395,-0.7983,0.5,0.0,0.0,0.0
886,-0.592,0.5,0.0,0.0,0.0
1914,-0.0339,0.5,0.0,0.0,0.0
892,-0.7175,0.5,0.0,0.0,0.0
2432,-0.7173,0.5,0.0,0.0,0.0
1922,-0.748,0.5,0.0,0.0,0.0
1411,-0.8488,0.5,0.0,0.0,0.0
388,-0.9387,0.5,0.0,0.0,0.0
2950,-0.605,0.5,0.0,0.0,0.0
392,-0.7527,0.5,0.0,0.0,0.0
904,-0.9864,0.5,0.0,0.0,0.0
1937,-0.8271,0.5,0.0,0.0,0.0
2967,-0.0439,0.5,0.0,0.0,0.0
1944,0.1577,0.5,0.0,0.0,0.0
412,-0.0696,0.5,0.0,0.0,0.0
413,-0.6763,0.5,0.0,0.0,0.0
414,-0.8293,0.3333,0.0,0.0,0.0
932,-0.4634,0.5,0.0,0.0,0.0
2983,-0.4653,0.5,0.0,0.0,0.0
424,-0.8839,0.5,0.0,0.0,0.0
2986,-0.9205,0.5,0.0,0.0,0.0
2479,-0.1504,0.5,0.0,0.0,0.0
437,-0.8494,0.0,0.0,0.0,0.0
1461,-0.9621,0.3333,0.0,0.0,0.0
952,-0.4948,0.5,0.0,0.0,0.0
1981,-0.7139,0.5,0.0,0.0,0.0
958,-0.0884,0.5,0.0,0.0,0.0
2494,-0.9275,0.5,0.0,0.0,0.0
3016,-0.4849,0.5,0.0,0.0,0.0
459,-0.4767,0.5,0.0,0.0,0.0
1483,-0.9221,0.5,0.0,0.0,0.0
1485,-0.9134,0.5,0.0,0.0,0.0
2514,-0.9001,0.5,0.0,0.0,0.0
2006,-0.6184,0.5,0.0,0.0,0.0
984,-0.8275,0.5,0.0,0.0,0.0
2522,0.1099,0.5,0.0,0.0,0.0
1500,-0.6938,0.5,0.0,0.0,0.0
477,-0.7786,0.5,0.0,0.0,0.0
1002,-0.9215,0.5,0.0,0.0,0.0
3050,-0.7675,0.5,0.0,0.0,0.0
1005,-0.8758,0.5,0.0,0.0,0.0
1517,-0.8562,0.5,0.0,0.0,0.0
2033,-0.4968,0.5,0.0,0.0,0.0
2036,-0.7778,0.5,0.0,0.0,0.0
2549,-0.926,0.5,0.0,0.0,0.0
2550,-0.0728,0.5,0.0,0.0,0.0
504,-0.8486,0.3333,0.0,0.0,0.0
1533,0.5828,0.5,0.0,0.0,0.0
