,ROUGE-1,ROUGE-2,ROUGE-L,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU,METEOR,BERTScore-F1
LLaDA zero-shot (8B-Instruct),0.397,0.1545,0.2723,0.2544,0.1393,0.0832,0.0526,0.0526,0.2355,0.2001
LLaDA LoRA (8B-Base + clinical LoRA),0.3897,0.175,0.2719,0.2674,0.1633,0.1127,0.0837,0.0837,0.2551,0.1581
LLaMA zero-shot (Llama-3.1-8B-Instruct),0.3854,0.1573,0.2597,0.2434,0.1376,0.0855,0.0562,0.0562,0.2303,0.1711
LLaMA LoRA (Llama-3.1-8B + clinical LoRA),0.3936,0.1832,0.2765,0.2733,0.1712,0.1211,0.092,0.092,0.2646,0.1699
