id,SummaC,QAFactEval,MedNER-P,MedNER-R,MedNER-F1
1461,0.5144,0.8333,1.0,0.0556,0.1053
952,-0.0105,0.1667,0.8889,0.3077,0.4571
1981,0.0776,1.0,1.0,0.1538,0.2667
958,-0.4425,0.6667,1.0,0.0833,0.1538
2494,0.3477,1.0,0.8,0.2667,0.4
3016,-0.1463,0.5,1.0,0.1379,0.2424
459,-0.2122,0.6667,1.0,0.3,0.4615
1483,0.1566,0.5,1.0,0.4545,0.625
1485,0.0517,0.6667,0.7143,0.3846,0.5
2514,-0.0605,0.5,1.0,0.25,0.4
2006,0.2634,0.6667,1.0,0.3333,0.5
984,-0.1799,0.6667,0.5,0.0588,0.1053
2522,-0.0483,0.6667,1.0,0.2,0.3333
1500,0.1865,0.6667,1.0,0.4545,0.625
477,0.136,0.6667,1.0,0.1765,0.3
1002,0.0945,0.5,1.0,0.3333,0.5
3050,0.106,0.6667,1.0,0.4444,0.6154
1005,-0.1282,0.6667,1.0,0.1429,0.25
1517,-0.0453,0.6667,0.5,0.1111,0.1818
2033,0.1197,0.3333,0.8333,0.1786,0.2941
2036,0.2249,1.0,0.0,0.0,0.0
2549,0.458,1.0,1.0,0.6154,0.7619
2550,0.0858,0.5,0.8571,0.2857,0.4286
504,-0.0205,0.5,0.5,0.0625,0.1111
1533,-0.3276,0.6667,0.5,0.0769,0.1333
