id,generation_time_seconds,diffusion_steps,n_entities_pinned
317,16.928,64,10
318,16.888,64,9
319,9.308,64,9
320,27.392,64,10
321,35.161,64,8
322,40.002,64,11
323,17.243,64,11
324,14.252,64,8
325,17.061,64,10
326,19.089,64,9
327,20.573,64,9
328,16.823,64,10
329,18.645,64,9
330,18.423,64,10
331,14.172,64,8
332,14.023,64,10
333,14.066,64,12
334,16.927,64,9
335,16.989,64,8
336,17.389,64,10
337,18.921,64,8
338,12.048,64,10
339,26.028,64,10
340,12.2,64,11
341,18.672,64,7
342,7.586,64,10
343,27.509,64,8
344,13.643,64,9
345,18.952,64,11
346,18.935,64,7
347,20.244,64,10
348,13.858,64,12
349,18.373,64,11
350,18.835,64,8
351,23.775,64,7
352,18.701,64,11
353,18.406,64,8
354,33.191,64,11
355,18.641,64,12
356,17.051,64,10
357,19.091,64,10
358,17.116,64,10
359,13.142,64,7
360,17.501,64,8
361,29.663,64,8
362,13.938,64,9
363,26.286,64,7
364,13.629,64,9
365,12.164,64,8
366,23.662,64,7
367,17.024,64,11
368,13.907,64,9
369,17.54,64,11
370,18.579,64,13
371,13.807,64,9
372,16.943,64,12
373,18.86,64,9
374,17.452,64,8
375,9.606,64,8
376,12.209,64,7
377,12.986,64,8
378,26.061,64,7
379,25.794,64,8
380,9.204,64,9
381,26.052,64,12
382,20.464,64,9
383,11.902,64,10
384,18.638,64,10
385,20.457,64,13
386,13.754,64,11
387,8.094,64,4
388,18.701,64,11
389,17.064,64,11
390,20.594,64,10
391,13.619,64,4
392,26.221,64,13
393,18.657,64,10
394,13.585,64,11
395,20.453,64,10
396,12.164,64,7
397,14.209,64,9
398,13.542,64,9
399,11.93,64,9
400,13.006,64,11
401,13.755,64,5
402,29.401,64,8
403,20.527,64,8
404,13.953,64,10
405,16.882,64,8
406,19.925,64,11
407,13.724,64,9
408,40.731,64,12
409,9.689,64,10
410,13.145,64,8
411,9.351,64,12
412,23.73,64,9
413,13.448,64,11
414,17.333,64,10
415,9.661,64,13
416,14.064,64,10
417,13.705,64,12
418,27.378,64,10
419,13.737,64,13
420,7.564,64,8
421,13.769,64,11
422,9.451,64,11
423,20.267,64,8
424,18.496,64,12
425,9.604,64,11
426,16.801,64,11
427,23.774,64,10
428,18.543,64,11
429,13.034,64,5
430,18.92,64,8
431,19.022,64,9
432,18.714,64,9
433,13.915,64,10
434,26.055,64,6
435,9.645,64,11
436,25.547,64,10
437,13.857,64,10
438,23.745,64,10
439,13.953,64,6
440,13.806,64,9
441,24.045,64,10
442,23.957,64,8
443,12.141,64,9
444,37.455,64,9
445,14.189,64,10
446,14.123,64,10
447,17.632,64,10
448,17.014,64,10
449,25.861,64,11
450,25.93,64,8
451,7.9,64,10
452,9.547,64,10
453,18.779,64,10
454,18.766,64,9
455,17.424,64,11
456,20.339,64,10
457,33.558,64,11
458,36.555,64,9
459,18.974,64,10
460,17.621,64,11
461,16.909,64,11
462,14.033,64,12
463,9.59,64,10
464,20.514,64,12
465,17.54,64,11
466,7.53,64,7
467,13.704,64,10
468,9.831,64,11
469,18.697,64,11
470,27.376,64,12
471,13.818,64,9
472,17.003,64,8
473,12.054,64,10
474,11.889,64,4
475,13.826,64,10
476,16.992,64,12
477,18.949,64,11
478,13.608,64,9
479,20.171,64,9
480,38.045,64,11
481,8.946,64,8
482,17.389,64,12
483,17.39,64,9
484,8.066,64,10
485,23.757,64,10
486,12.937,64,10
487,26.119,64,8
488,18.629,64,10
489,13.592,64,10
490,14.069,64,11
491,23.553,64,10
492,36.575,64,11
493,18.662,64,10
494,13.551,64,9
495,23.472,64,10
496,13.455,64,10
497,9.766,64,10
498,18.551,64,9
499,29.661,64,10
500,13.211,64,7
501,17.15,64,7
502,12.903,64,8
503,13.039,64,10
504,17.611,64,9
505,12.982,64,10
506,9.212,64,11
507,18.597,64,8
508,23.485,64,6
509,29.353,64,8
510,20.645,64,8
511,17.503,64,11
512,17.228,64,10
513,25.583,64,11
514,13.215,64,9
515,17.549,64,12
516,9.902,64,10
517,12.934,64,8
518,13.469,64,10
519,12.88,64,13
520,17.415,64,10
521,25.915,64,9
522,18.746,64,7
523,20.216,64,9
524,37.015,64,11
525,27.354,64,10
526,18.728,64,8
527,26.273,64,11
528,23.446,64,10
529,20.057,64,8
530,16.949,64,12
531,17.528,64,9
532,26.094,64,8
533,11.818,64,9
534,23.855,64,11
535,13.803,64,9
536,19.943,64,9
537,11.85,64,6
538,26.176,64,8
539,9.311,64,8
540,14.19,64,10
541,19.04,64,12
542,25.764,64,10
543,33.361,64,11
544,16.87,64,8
545,20.528,64,10
546,25.82,64,9
547,17.228,64,9
548,23.514,64,8
549,7.938,64,8
550,29.56,64,8
551,17.148,64,8
552,18.776,64,8
553,13.778,64,10
554,12.021,64,10
555,13.529,64,8
556,19.042,64,9
557,13.919,64,6
558,18.723,64,9
559,13.005,64,10
560,20.46,64,10
561,27.434,64,10
562,12.176,64,2
563,23.589,64,9
564,23.86,64,7
565,33.279,64,12
566,20.549,64,9
567,33.23,64,14
568,7.507,64,6
569,9.595,64,11
570,17.002,64,10
571,11.984,64,9
572,13.82,64,9
573,19.107,64,11
574,14.185,64,10
575,9.573,64,10
576,18.926,64,8
577,13.01,64,11
578,7.698,64,5
579,9.748,64,9
580,13.576,64,10
581,13.548,64,7
582,19.008,64,11
583,18.53,64,10
584,20.461,64,9
585,24.086,64,10
586,12.223,64,10
587,26.202,64,11
588,19.012,64,6
589,18.675,64,7
590,13.743,64,11
591,9.783,64,8
592,17.033,64,9
593,38.366,64,13
594,19.006,64,8
595,16.969,64,7
596,18.691,64,8
597,28.995,64,9
598,13.899,64,9
599,26.024,64,7
600,17.476,64,7
601,16.919,64,10
602,19.062,64,11
603,13.212,64,10
604,12.999,64,7
605,9.443,64,12
606,14.194,64,8
607,27.314,64,10
608,23.723,64,9
609,26.922,64,10
610,20.631,64,11
611,20.453,64,9
612,13.688,64,11
613,20.624,64,13
614,18.589,64,10
615,12.036,64,9
616,29.12,64,9
617,25.657,64,9
618,27.644,64,8
619,23.53,64,8
620,20.35,64,9
621,18.624,64,7
622,17.187,64,9
623,13.432,64,11
624,17.625,64,9
625,9.07,64,9
626,25.949,64,6
627,14.224,64,8
628,17.096,64,9
629,18.59,64,10
630,9.006,64,9
631,20.386,64,10
632,27.22,64,9
633,12.155,64,12
634,18.631,64,6
635,11.818,64,9
636,26.852,64,11
637,29.661,64,8
638,13.918,64,10
639,14.185,64,11
640,7.668,64,7
641,12.844,64,8
642,20.487,64,12
643,9.832,64,9
644,27.307,64,12
645,20.251,64,8
646,19.977,64,8
647,18.853,64,7
648,20.595,64,12
649,24.124,64,10
650,13.894,64,12
651,18.96,64,8
652,12.963,64,4
653,12.213,64,11
654,13.123,64,11
655,20.563,64,8
656,16.838,64,11
657,35.107,64,9
658,12.071,64,9
659,18.471,64,11
660,24.038,64,12
661,11.965,64,9
662,36.64,64,11
663,27.276,64,7
664,17.557,64,9
665,9.812,64,10
666,27.588,64,7
667,13.129,64,10
668,9.822,64,8
669,14.072,64,6
670,9.029,64,10
671,13.924,64,8
672,9.405,64,10
673,40.835,64,11
674,18.346,64,12
675,20.424,64,11
676,23.814,64,10
677,12.175,64,12
678,13.186,64,9
679,25.584,64,11
680,20.457,64,8
681,18.576,64,9
682,14.168,64,11
683,12.154,64,10
684,12.183,64,8
685,26.09,64,11
686,17.615,64,9
687,17.281,64,8
688,14.151,64,12
689,20.11,64,10
690,19.968,64,8
691,14.049,64,8
692,17.282,64,11
693,23.569,64,8
694,13.955,64,9
695,18.678,64,10
696,20.664,64,8
697,13.697,64,8
698,26.158,64,9
699,13.739,64,7
700,17.387,64,11
701,16.869,64,8
702,20.475,64,10
703,13.537,64,9
704,13.543,64,6
705,16.895,64,9
706,35.025,64,10
707,20.245,64,9
708,29.531,64,13
709,26.144,64,8
710,27.513,64,8
711,20.512,64,10
712,17.623,64,8
713,23.881,64,8
714,11.871,64,9
715,23.698,64,8
716,9.687,64,7
717,16.975,64,10
718,18.683,64,10
719,20.103,64,9
720,14.056,64,9
721,12.209,64,7
722,13.583,64,11
723,9.159,64,8
724,18.521,64,11
725,18.536,64,11
726,12.077,64,11
727,25.532,64,11
728,16.937,64,10
729,7.615,64,6
730,17.479,64,11
731,13.462,64,11
732,18.423,64,12
733,36.767,64,12
734,13.039,64,9
735,17.015,64,8
736,13.835,64,11
737,13.869,64,10
738,13.898,64,7
739,11.922,64,8
740,13.202,64,9
741,26.004,64,8
742,17.407,64,11
743,9.115,64,10
744,9.12,64,10
745,12.87,64,10
746,18.861,64,10
747,16.96,64,8
748,13.1,64,10
