id,SummaC,QAFactEval,MedNER-P,MedNER-R,MedNER-F1
1500,-0.022,0.5,0.0,0.0,0.0
477,-0.0122,0.5,0.0,0.0,0.0
1002,0.0002,0.5,1.0,0.3333,0.5
3050,0.0798,0.5,0.0,0.0,0.0
1005,-0.6027,0.5,0.0,0.0,0.0
1517,0.0125,0.5,0.0,0.0,0.0
2033,0.2178,0.5,0.0,0.0,0.0
2036,0.5591,0.5,0.0,0.0,0.0
2549,0.0769,0.5,0.0,0.0,0.0
2550,0.3894,0.5,0.0,0.0,0.0
504,-0.4365,0.6667,0.0,0.0,0.0
1533,0.2285,0.5,0.0,0.0,0.0
