model,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
LLaDA,0.397223445420968,0.15422957402982576,0.2724793888318345,0.20141481
Llama,0.38544513867606706,0.15726042424203354,0.25977268403747084,0.17099324
