id,ROUGE-1,ROUGE-2,ROUGE-L,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU,METEOR,BERTScore-F1
1897,0.1905,0.0976,0.1429,0.0581,0.0243,0.0086,0.0052,0.0052,0.057,-0.2593
1900,0.0426,0.0,0.0426,0.0,0.0,0.0,0.0,0.0,0.014,-0.8557
1901,0.0992,0.0504,0.0992,0.0014,0.0007,0.0003,0.0002,0.0002,0.0221,-0.508
881,0.1834,0.0088,0.1223,0.0469,0.004,0.0018,0.0012,0.0012,0.0595,-0.5141
1395,0.4722,0.2817,0.3056,0.2936,0.2048,0.1404,0.1028,0.1028,0.2997,0.2521
886,0.1157,0.0168,0.0992,0.009,0.0012,0.0006,0.0004,0.0004,0.0391,-0.508
1914,0.0667,0.0112,0.0556,0.001,0.0005,0.0002,0.0001,0.0001,0.0262,-0.1588
892,0.1875,0.0851,0.1667,0.0044,0.0019,0.0007,0.0004,0.0004,0.0596,-0.317
2432,0.2707,0.0916,0.1955,0.1197,0.0458,0.0124,0.0065,0.0065,0.1103,-0.0366
1922,0.0406,0.0205,0.0406,0.0071,0.0016,0.001,0.0008,0.0008,0.0077,-0.6151
1411,0.1468,0.0374,0.1101,0.0291,0.0042,0.0022,0.0016,0.0016,0.0417,-0.534
388,0.1471,0.0909,0.1176,0.005,0.001,0.0006,0.0005,0.0005,0.032,-0.4516
2950,0.1188,0.0606,0.1188,0.0128,0.0066,0.0025,0.0015,0.0015,0.0288,-0.3328
392,0.0656,0.0331,0.0656,0.0015,0.0009,0.0004,0.0002,0.0002,0.0111,-0.3755
904,0.1429,0.058,0.1429,0.0033,0.0019,0.0006,0.0003,0.0003,0.0331,-0.375
1937,0.1582,0.0343,0.1582,0.1117,0.0112,0.0053,0.0036,0.0036,0.0624,-0.611
2967,0.0282,0.0,0.0282,0.0,0.0,0.0,0.0,0.0,0.0094,-0.5866
1944,0.3077,0.1373,0.25,0.1993,0.1104,0.0294,0.0153,0.0153,0.2138,0.0967
412,0.2121,0.0615,0.1515,0.0071,0.0031,0.0019,0.0009,0.0009,0.056,-0.2185
413,0.096,0.065,0.096,0.0656,0.0468,0.0333,0.0159,0.0159,0.0616,-0.5271
414,0.1379,0.0526,0.1207,0.0112,0.0047,0.0017,0.001,0.001,0.0365,-0.5221
932,0.1148,0.0833,0.1148,0.0,0.0,0.0,0.0,0.0,0.0319,-0.7041
2983,0.1591,0.0575,0.1477,0.0937,0.0472,0.033,0.0233,0.0233,0.072,-0.5639
424,0.1228,0.0714,0.1228,0.0093,0.0061,0.0042,0.002,0.002,0.0543,-0.3581
2986,0.1705,0.046,0.1705,0.0053,0.0022,0.0013,0.0006,0.0006,0.0498,-0.6498
2479,0.1185,0.0451,0.1037,0.0015,0.0007,0.0002,0.0002,0.0002,0.0255,-0.425
437,0.1509,0.1176,0.1509,0.0357,0.0115,0.008,0.0067,0.0067,0.0864,-0.3294
1461,0.0491,0.0373,0.0491,0.0,0.0,0.0,0.0,0.0,0.0037,-0.7132
952,0.0658,0.0267,0.0658,0.051,0.0257,0.0095,0.0058,0.0058,0.0408,-0.5817
1981,0.0566,0.0,0.0566,0.0039,0.0009,0.0006,0.0004,0.0004,0.0191,-0.4599
958,0.1515,0.125,0.1515,0.0909,0.0533,0.0209,0.0132,0.0132,0.0869,-0.5129
2494,0.1149,0.0706,0.1149,0.0,0.0,0.0,0.0,0.0,0.0385,-0.3686
3016,0.0113,0.0,0.0113,0.0,0.0,0.0,0.0,0.0,0.0037,-0.4337
459,0.1935,0.044,0.172,0.0238,0.0035,0.0019,0.0014,0.0014,0.0401,-0.3013
1483,0.5075,0.4242,0.4627,0.3102,0.2792,0.2675,0.2602,0.2602,0.3641,0.4499
1485,0.1707,0.075,0.122,0.0519,0.0084,0.0046,0.0035,0.0035,0.0508,-0.5555
2514,0.1647,0.1205,0.1647,0.0154,0.0138,0.0118,0.0093,0.0093,0.0648,-0.5133
2006,0.1778,0.0301,0.163,0.0979,0.0118,0.0059,0.0041,0.0041,0.0712,-0.644
984,0.0889,0.0602,0.0889,0.0025,0.0015,0.0006,0.0004,0.0004,0.0324,-0.4179
2522,0.1661,0.0334,0.1595,0.0482,0.0188,0.012,0.0081,0.0081,0.0657,-0.6867
1500,0.1558,0.08,0.1558,0.0024,0.0013,0.0005,0.0003,0.0003,0.0565,-0.5945
477,0.0364,0.0185,0.0364,0.0,0.0,0.0,0.0,0.0,0.0055,-0.6867
1002,0.4719,0.2299,0.2697,0.4094,0.2932,0.2231,0.1771,0.1771,0.3153,0.2784
3050,0.24,0.0813,0.176,0.0399,0.0174,0.0106,0.0047,0.0047,0.1079,-0.3585
1005,0.1406,0.0635,0.1406,0.034,0.0141,0.0049,0.0029,0.0029,0.0415,-0.3956
1517,0.2345,0.0559,0.1793,0.0022,0.0007,0.0002,0.0001,0.0001,0.0597,-0.2659
2033,0.1756,0.0296,0.1366,0.1006,0.0271,0.0081,0.0045,0.0045,0.0681,-0.612
2036,0.124,0.063,0.124,0.0794,0.0358,0.0128,0.0077,0.0077,0.0408,-0.5159
2549,0.2051,0.1622,0.2051,0.0063,0.0059,0.0055,0.0048,0.0048,0.1202,-0.6379
2550,0.0417,0.0,0.0417,0.0377,0.0085,0.0052,0.0041,0.0041,0.0259,-0.5401
504,0.0575,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0113,-0.7286
1533,0.0561,0.0,0.0561,0.0416,0.0077,0.0044,0.0034,0.0034,0.0248,-0.4749
