id,generation_time_seconds,iterations,n_entities_pinned
317,1.652,6,10
318,1.649,6,9
319,5.291,28,9
320,2.849,6,9
321,3.534,6,8
322,4.204,6,10
323,1.695,6,11
324,0.966,4,8
325,1.107,4,10
326,1.227,4,9
327,2.046,6,9
328,1.096,4,11
329,1.221,4,9
330,1.859,6,10
331,0.961,4,8
332,1.395,6,10
333,1.443,6,11
334,1.102,4,9
335,1.099,4,9
336,1.146,4,10
337,1.23,4,8
338,1.12,6,9
339,1.75,4,10
340,1.126,6,11
341,1.713,6,9
342,4.536,23,10
343,2.112,4,9
344,0.914,4,9
345,1.888,6,11
346,1.237,4,6
347,2.029,6,10
348,0.934,4,11
349,1.886,6,11
350,1.829,6,9
351,2.369,6,8
352,1.833,6,11
353,1.243,4,7
354,2.24,4,11
355,1.877,6,11
356,1.117,4,9
357,1.872,6,10
358,1.671,6,10
359,0.796,4,10
360,1.138,4,9
361,3.365,6,7
362,0.922,4,8
363,1.848,4,9
364,0.905,4,8
365,1.126,6,9
366,1.567,4,8
367,1.118,4,11
368,0.926,4,8
369,1.713,6,11
370,1.26,4,10
371,0.906,4,6
372,1.117,4,11
373,1.849,6,9
374,1.69,6,7
375,0.784,4,8
376,1.126,6,7
377,1.203,6,7
378,1.735,4,6
379,2.575,6,8
380,6.205,33,9
381,2.71,6,10
382,1.337,4,10
383,1.104,6,10
384,1.835,6,10
385,2.043,6,13
386,1.366,6,10
387,12.823,64,4
388,1.833,6,10
389,1.692,6,11
390,2.36,6,9
391,1.328,6,4
392,2.781,6,12
393,1.841,6,9
394,1.346,6,7
395,2.047,6,12
396,1.135,6,6
397,1.685,7,9
398,1.347,6,10
399,1.11,6,9
400,1.186,6,10
401,0.903,4,5
402,3.031,6,9
403,2.04,6,8
404,1.365,6,10
405,1.101,4,8
406,1.963,6,11
407,1.349,6,9
408,2.735,4,12
409,0.794,4,10
410,1.198,6,8
411,5.162,26,12
412,2.402,6,10
413,1.213,6,11
414,1.705,6,10
415,7.063,35,11
416,0.96,4,11
417,1.346,6,12
418,2.812,6,10
419,1.621,7,12
420,6.1,31,8
421,1.369,6,9
422,5.599,28,11
423,1.332,4,9
424,1.877,6,11
425,6.781,34,11
426,1.655,6,10
427,2.399,6,10
428,1.875,6,10
429,1.189,6,6
430,1.222,4,8
431,1.852,6,8
